Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,                                                   ,           ,                ,           ,24.36,0.83,1.53,13.61, rse-server-15,
8/31/2018 11:09,        data\61883_forwardedatbadirqlallocate_1.bpl,     44.50s,       4 clients,         RB,60.27,16.56,4.42,38.55,,
,                                                   ,           ,                ,           ,15.41,4.13,0.72,10.52, rse-server-13,
,                                                   ,           ,                ,           ,16.78,4.88,1.64,10.36, rse-server-14,
,                                                   ,           ,                ,           ,10.81,5.06,0.42,13.95, rse-server-12,
,                                                   ,           ,                ,           ,17.27,2.5,1.64,3.72, rse-server-15,
8/31/2018 11:40,        data\61883_forwardedatbadirqlallocate_1.bpl,    178.63s,       4 clients,         RB,271.46,214.08,47.99,97.17,,
,                                                   ,           ,                ,           ,63.99,64.24,6.23,26.66, rse-server-13,
,                                                   ,           ,                ,           ,45.49,71.65,7.52,37.35, rse-server-14,
,                                                   ,           ,                ,           ,65.32,69.63,12.66,10.55, rse-server-12,
,                                                   ,           ,                ,           ,96.66,8.56,21.58,22.61, rse-server-15,
8/31/2018 11:48,        data\61883_forwardedatbadirqlallocate_1.bpl,    133.85s,       4 clients,         RB,266.12,83.41,21.15,85.01,,
,                                                   ,           ,                ,           ,81.85,18.77,6.72,6.47, rse-server-13,
,                                                   ,           ,                ,           ,64.66,23.88,5.55,18.5, rse-server-14,
,                                                   ,           ,                ,           ,54.71,25.22,4.91,29.8, rse-server-12,
,                                                   ,           ,                ,           ,64.9,15.55,3.97,30.24, rse-server-15,
8/31/2018 11:56,        data\61883_forwardedatbadirqlallocate_1.bpl,    198.87s,       4 clients,         RB,354.45,131.68,66.79,148.75,,
,                                                   ,           ,                ,           ,111.26,9.84,20.14,28, rse-server-13,
,                                                   ,           ,                ,           ,64.19,60.52,16.58,37.71, rse-server-14,
,                                                   ,           ,                ,           ,84.82,35.3,14.72,42.71, rse-server-12,
,                                                   ,           ,                ,           ,94.18,26.02,15.35,40.33, rse-server-15,
8/31/2018 12:25,        data\61883_forwardedatbadirqlallocate_1.bpl,    122.12s,       4 clients,         RB,208.76,90.4,15.24,115.43,,
,                                                   ,           ,                ,           ,52.39,31.1,2.95,21.13, rse-server-13,
,                                                   ,           ,                ,           ,41.47,34.35,2.92,30.27, rse-server-14,
,                                                   ,           ,                ,           ,55.91,18.13,5.48,27.56, rse-server-12,
,                                                   ,           ,                ,           ,58.99,6.83,3.89,36.47, rse-server-15,
8/31/2018 12:38,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.36s,       4 clients,         RB,150.04,166.7,11.78,71.86,,
,                                                   ,           ,                ,           ,41.66,35.78,1.97,21.28, rse-server-13,
,                                                   ,           ,                ,           ,34.85,32.58,3.03,30.46, rse-server-14,
,                                                   ,           ,                ,           ,37.64,47.88,3.86,9.03, rse-server-12,
,                                                   ,           ,                ,           ,35.89,50.46,2.92,11.09, rse-server-15,
8/31/2018 14:08,        data\61883_forwardedatbadirqlallocate_1.bpl,    107.02s,       4 clients,         RB,153.4,90.88,10.14,70.39,,
,                                                   ,           ,                ,           ,38.38,0,3.19,1.48, rse-server-13,
,                                                   ,           ,                ,           ,29.66,38.69,1.77,24.89, rse-server-14,
,                                                   ,           ,                ,           ,36.11,35.63,1.8,20.69, rse-server-12,
,                                                   ,           ,                ,           ,49.25,16.56,3.38,23.33, rse-server-15,
8/31/2018 14:18,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.31s,       4 clients,         RB,160.11,140.89,11.08,84.86,,
,                                                   ,           ,                ,           ,46.74,29.53,2.36,21.06, rse-server-13,
,                                                   ,           ,                ,           ,33,34.67,1.92,30.61, rse-server-14,
,                                                   ,           ,                ,           ,44.41,27.14,4.19,21.92, rse-server-12,
,                                                   ,           ,                ,           ,35.96,49.54,2.61,11.27, rse-server-15,
8/31/2018 14:21,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.68s,       4 clients,         RB,152.07,159.67,11.04,71.69,,
,                                                   ,           ,                ,           ,48.97,24.92,2.17,22.6, rse-server-13,
,                                                   ,           ,                ,           ,23.53,51.8,1.39,23.06, rse-server-14,
,                                                   ,           ,                ,           ,42.88,35.94,4.25,14.75, rse-server-12,
,                                                   ,           ,                ,           ,36.69,47,3.23,11.28, rse-server-15,
8/31/2018 14:30,        data\61883_forwardedatbadirqlallocate_1.bpl,    112.11s,       4 clients,         RB,149.87,163.11,10.44,71.75,,
,                                                   ,           ,                ,           ,47.61,26.77,1.77,22.72, rse-server-13,
,                                                   ,           ,                ,           ,23.25,52.85,1.11,23.56, rse-server-14,
,                                                   ,           ,                ,           ,43.29,35.27,4.5,14.39, rse-server-12,
,                                                   ,           ,                ,           ,35.72,48.22,3.06,11.08, rse-server-15,
8/31/2018 15:07,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.07s,       4 clients,         RB,148.48,159.08,10.34,72.21,,
,                                                   ,           ,                ,           ,46.75,26.64,2.03,22.71, rse-server-13,
,                                                   ,           ,                ,           ,22.77,51.69,1.3,23.42, rse-server-14,
,                                                   ,           ,                ,           ,43.25,33.64,4.31,14.77, rse-server-12,
,                                                   ,           ,                ,           ,35.71,47.1,2.7,11.31, rse-server-15,
8/31/2018 15:41,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.85s,       4 clients,         RB,159.85,144.29,11.72,83.62,,
,                                                   ,           ,                ,           ,46.22,31.25,2.41,20.38, rse-server-13,
,                                                   ,           ,                ,           ,29.81,35.05,1.61,34.66, rse-server-14,
,                                                   ,           ,                ,           ,44.07,28.61,4.39,21.52, rse-server-12,
,                                                   ,           ,                ,           ,39.75,49.38,3.31,7.06, rse-server-15,
8/31/2018 16:05,        data\61883_forwardedatbadirqlallocate_1.bpl,    105.42s,       4 clients,         RB,157.42,118.4,10.98,79.48,,
,                                                   ,           ,                ,           ,47.69,27.44,3.52,11.58, rse-server-13,
,                                                   ,           ,                ,           ,29.88,36.75,2.33,24.49, rse-server-14,
,                                                   ,           ,                ,           ,32.89,36.33,1.72,21.41, rse-server-12,
,                                                   ,           ,                ,           ,46.96,17.88,3.41,22, rse-server-15,
8/31/2018 16:08,        data\61883_forwardedatbadirqlallocate_1.bpl,    117.14s,       2 clients,         RB,122.26,37.49,9.84,28.42,,
,                                                   ,           ,                ,           ,48.33,26.11,3.48,20.81, rse-server-13,
,                                                   ,           ,                ,           ,73.93,11.38,6.36,7.61, rse-server-14,
8/31/2018 16:13,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.07s,       4 clients,         RB,150.02,157.2,10.7,72.38,,
,                                                   ,           ,                ,           ,48.19,25.05,2.09,22.45, rse-server-13,
,                                                   ,           ,                ,           ,22.89,51.68,1.45,23.49, rse-server-14,
,                                                   ,           ,                ,           ,42.8,34.25,4.52,15, rse-server-12,
,                                                   ,           ,                ,           ,36.14,46.22,2.64,11.44, rse-server-15,
8/31/2018 16:29,        data\61883_forwardedatbadirqlallocate_1.bpl,    114.36s,       4 clients,         RB,159.64,151.65,11.53,80.1,,
,                                                   ,           ,                ,           ,46.99,29.16,1.89,23.19, rse-server-13,
,                                                   ,           ,                ,           ,28.53,40.69,1.38,30.88, rse-server-14,
,                                                   ,           ,                ,           ,47.91,31.69,5.13,14.94, rse-server-12,
,                                                   ,           ,                ,           ,36.21,50.11,3.13,11.09, rse-server-15,
8/31/2018 16:52,        data\61883_forwardedatbadirqlallocate_1.bpl,    114.03s,       4 clients,         RB,179.75,107.29,11.6,102.12,,
,                                                   ,           ,                ,           ,44.55,33.52,1.8,21.28, rse-server-13,
,                                                   ,           ,                ,           ,25.11,43.32,1.14,33.63, rse-server-14,
,                                                   ,           ,                ,           ,52.54,13.64,4.86,27.44, rse-server-12,
,                                                   ,           ,                ,           ,57.55,16.81,3.8,19.77, rse-server-15,
8/31/2018 17:11,                  data\cyyport_irpcancelfield_0.bpl,    542.23s,       3 clients,         RB,1125.29,88.29,103.84,101.46,,
,                                                   ,           ,                ,           ,364.25,27.74,37.67,40.89, rse-server-14,
,                                                   ,           ,                ,           ,356.62,44.96,41.86,24.19, rse-server-12,
,                                                   ,           ,                ,           ,404.42,15.6,24.31,36.38, rse-server-15,
8/31/2018 17:32,        data\61883_forwardedatbadirqlallocate_1.bpl,    115.23s,       4 clients,         RB,175.93,67.74,12.1,90.93,,
,                                                   ,           ,                ,           ,55.24,9.5,2.36,34.1, rse-server-13,
,                                                   ,           ,                ,           ,39.27,29.86,2.36,31.05, rse-server-14,
,                                                   ,           ,                ,           ,35.39,0,4.25,3.28, rse-server-12,
,                                                   ,           ,                ,           ,46.03,28.38,3.13,22.5, rse-server-15,
8/31/2018 17:55,        data\61883_forwardedatbadirqlallocate_1.bpl,    112.54s,       4 clients,         RB,152.55,159.95,10.41,71.85,,
,                                                   ,           ,                ,           ,49.03,25.49,2.17,22.8, rse-server-13,
,                                                   ,           ,                ,           ,23.53,52.05,1.27,23.35, rse-server-14,
,                                                   ,           ,                ,           ,43.91,33.63,3.89,14.53, rse-server-12,
,                                                   ,           ,                ,           ,36.08,48.78,3.08,11.17, rse-server-15,
8/31/2018 17:57,        data\61883_forwardedatbadirqlallocate_1.bpl,    104.47s,       4 clients,         RB,173.27,92.13,11.12,85.43,,
,                                                   ,           ,                ,           ,48.75,26.44,3.94,10.89, rse-server-13,
,                                                   ,           ,                ,           ,27.61,35.58,2.02,27.27, rse-server-14,
,                                                   ,           ,                ,           ,42.83,14.55,1.66,31.39, rse-server-12,
,                                                   ,           ,                ,           ,54.08,15.56,3.5,15.88, rse-server-15,
8/31/2018 18:10,        data\61883_forwardedatbadirqlallocate_1.bpl,    114.21s,       4 clients,         RB,160.18,144.01,11.51,86.65,,
,                                                   ,           ,                ,           ,45.36,31.17,2.31,21.52, rse-server-13,
,                                                   ,           ,                ,           ,33.86,34.32,1.7,31.69, rse-server-14,
,                                                   ,           ,                ,           ,45.43,27.66,4.5,22.11, rse-server-12,
,                                                   ,           ,                ,           ,35.53,50.86,3,11.33, rse-server-15,
8/31/2018 18:12,        data\61883_forwardedatbadirqlallocate_1.bpl,    105.18s,       4 clients,         RB,151.74,131.76,10.14,70.07,,
,                                                   ,           ,                ,           ,48.44,26.27,3.73,11.55, rse-server-13,
,                                                   ,           ,                ,           ,34.83,29.11,1.86,27.02, rse-server-14,
,                                                   ,           ,                ,           ,32.42,36.07,1.5,20.97, rse-server-12,
,                                                   ,           ,                ,           ,36.05,40.32,3.05,10.53, rse-server-15,
8/31/2018 18:55,        data\61883_forwardedatbadirqlallocate_1.bpl,    138.49s,       1 clients,         RB,103.02,0.02,7.58,0,,
,                                                   ,           ,                ,           ,103.02,0.02,7.58,0, rse-server-13,
8/31/2018 18:59,        data\61883_forwardedatbadirqlallocate_1.bpl,    102.34s,       4 clients,         RB,148.34,133.93,9.78,61.36,,
,                                                   ,           ,                ,           ,48.14,25.88,3.86,10.06,3, rse-server-13
,                                                   ,           ,                ,           ,27.99,31.69,1.31,28.02,14, rse-server-14
,                                                   ,           ,                ,           ,29.71,39.6,1.28,19.05,9, rse-server-12
,                                                   ,           ,                ,           ,42.5,36.77,3.33,4.23,3, rse-server-15
8/31/2018 19:20,        data\61883_forwardedatbadirqlallocate_1.bpl,    117.65s,       4 clients,         RB,157.24,162.22,10.11,84.98,,
,                                                   ,           ,                ,           ,45.49,31.74,1.64,24.61,7, rse-server-13
,                                                   ,           ,                ,           ,23.56,46.53,0.86,36,13, rse-server-14
,                                                   ,           ,                ,           ,47.11,33.69,4.55,16.28,5, rse-server-12
,                                                   ,           ,                ,           ,41.08,50.25,3.06,8.09,3, rse-server-15
8/31/2018 21:37,                data\61883_irqlexallocatepool_0.bpl,     27.87s,       4 clients,         RB,20.18,43.46,1.72,9.27,,
,                                                   ,           ,                ,           ,7.03,6.84,0.56,4.84,3, rse-server-13
,                                                   ,           ,                ,           ,3.52,16.02,0.33,0.88,2, rse-server-14
,                                                   ,           ,                ,           ,2.72,11.44,0.19,3.02,4, rse-server-12
,                                                   ,           ,                ,           ,6.91,9.16,0.64,0.53,2, rse-server-15
8/31/2018 21:38,                        data\61883_removelock_1.bpl,     21.38s,       4 clients,        NOK,19.92,0,2.18,1.19,,
,                                                   ,           ,                ,           ,5.77,0,0.55,0.38,1, rse-server-13
,                                                   ,           ,                ,           ,6.02,0,0.58,0.81,1, rse-server-12
,                                                   ,           ,                ,           ,8.13,0,1.05,0,1, rse-server-15
8/31/2018 21:41,                data\61883_irqlexallocatepool_0.bpl,    115.31s,       4 clients,         RB,178.64,174.26,8.23,48.24,,
,                                                   ,           ,                ,           ,83.12,6.09,3.42,7.94,3, rse-server-13
,                                                   ,           ,                ,           ,35.05,53.66,0.98,15.28,4, rse-server-14
,                                                   ,           ,                ,           ,26.86,55.54,1.61,19,8, rse-server-12
,                                                   ,           ,                ,           ,33.61,58.97,2.22,6.02,4, rse-server-15
,,,,,,,,,,
Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
9/3/2018 9:10:10 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    116.19s,       4 clients,         RB,     146.62,     177.50,      10.66,      73.60
,                                                   ,           ,                ,           ,      47.44,      27.41,       2.09,      24.78,          7, rse-server-13
,                                                   ,           ,                ,           ,      18.08,      62.15,       0.91,      24.35,         13, rse-server-14
,                                                   ,           ,                ,           ,      42.69,      36.74,       4.25,      16.50,          5, rse-server-12
,                                                   ,           ,                ,           ,      38.41,      51.21,       3.41,       7.97,          3, rse-server-15
9/5/2018 9:57:24 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    125.15s,       4 clients,         RB,     144.14,     222.07,      10.45,      68.64
,                                                   ,           ,                ,           ,      50.52,      38.91,       4.33,      14.92,          4, rse-server-13
,                                                   ,           ,                ,           ,      35.74,      46.16,       1.78,      28.78,         10, rse-server-14
,                                                   ,           ,                ,           ,      14.52,      82.99,       0.78,      15.80,          9, rse-server-12
,                                                   ,           ,                ,           ,      43.36,      54.00,       3.56,       9.14,          3, rse-server-15
9/5/2018 10:44:26 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    101.82s,       4 clients,         RB,     113.48,     122.99,       9.79,     105.02
,                                                   ,           ,                ,           ,      43.19,      17.86,       3.81,      20.77,          4, rse-server-13
,                                                   ,           ,                ,           ,      19.91,      27.91,       1.70,      39.83,         10, rse-server-14
,                                                   ,           ,                ,           ,      10.02,      48.00,       1.14,      30.42,         10, rse-server-12
,                                                   ,           ,                ,           ,      40.36,      29.22,       3.14,      14.00,          3, rse-server-15
9/5/2018 10:47:26 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    102.08s,       4 clients,         RB,     114.36,     129.76,       9.54,      98.92
,                                                   ,           ,                ,           ,      44.36,      21.25,       3.86,      15.17,          4, rse-server-13
,                                                   ,           ,                ,           ,       9.70,      34.24,       0.73,      46.71,         11, rse-server-14
,                                                   ,           ,                ,           ,       9.95,      49.14,       1.36,      30.32,         10, rse-server-12
,                                                   ,           ,                ,           ,      50.35,      25.13,       3.59,       6.72,          2, rse-server-15
9/5/2018 10:51:10 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    119.05s,       4 clients,         RB,     119.65,     137.37,       9.49,     144.49
,                                                   ,           ,                ,           ,      44.78,      33.41,       3.91,      20.47,          4, rse-server-13
,                                                   ,           ,                ,           ,      18.38,      45.36,       1.66,      42.36,         12, rse-server-14
,                                                   ,           ,                ,           ,      12.49,      37.07,       0.81,      47.33,          9, rse-server-12
,                                                   ,           ,                ,           ,      44.00,      21.53,       3.11,      34.33,          4, rse-server-15
9/5/2018 11:00:24 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    110.66s,       4 clients,         RB,     120.69,      97.71,      12.96,     148.94
,                                                   ,           ,                ,           ,      41.97,      12.39,       3.66,      36.19,          4, rse-server-13
,                                                   ,           ,                ,           ,      16.80,      29.56,       3.83,      46.68,         14, rse-server-14
,                                                   ,           ,                ,           ,      20.64,      30.16,       1.72,      42.68,         12, rse-server-12
,                                                   ,           ,                ,           ,      41.28,      25.60,       3.75,      23.39,          4, rse-server-15
9/5/2018 11:14:02 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    106.65s,       4 clients,         RB,     118.44,      99.84,      10.29,     141.41
,                                                   ,           ,                ,           ,      43.10,       8.61,       3.48,      35.35,          4, rse-server-13
,                                                   ,           ,                ,           ,      14.45,      32.19,       1.58,      46.08,         14, rse-server-14
,                                                   ,           ,                ,           ,      22.42,      33.67,       1.53,      36.07,         11, rse-server-12
,                                                   ,           ,                ,           ,      38.47,      25.36,       3.70,      23.91,          4, rse-server-15
9/5/2018 11:21:36 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.24s,       4 clients,         RB,     159.92,      83.55,      11.68,     130.24
,                                                   ,           ,                ,           ,      51.35,      14.42,       3.36,      26.27,          4, rse-server-13
,                                                   ,           ,                ,           ,      36.47,      27.31,       2.92,      30.91,         13, rse-server-14
,                                                   ,           ,                ,           ,      30.57,      16.16,       1.59,      48.50,         12, rse-server-12
,                                                   ,           ,                ,           ,      41.53,      25.66,       3.81,      24.56,          5, rse-server-15
9/5/2018 11:24:34 AM,        data\61883_forwardedatbadirqlallocate_1.bpl,     99.97s,       4 clients,         RB,     138.46,     108.12,      10.37,      85.53
,                                                   ,           ,                ,           ,      37.89,      21.92,       1.72,      24.60,          7, rse-server-13
,                                                   ,           ,                ,           ,      25.30,      26.10,       1.20,      34.88,         14, rse-server-14
,                                                   ,           ,                ,           ,      41.38,      25.78,       4.45,      12.02,          5, rse-server-12
,                                                   ,           ,                ,           ,      33.89,      34.32,       3.00,      14.03,          4, rse-server-15
